id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;LolaXXXXXX;RodriguezX;Lily.Kihn75@yahoo.com;repurpose modular;2020-12-24T10:56:22;12617;25834
2;MiguelXXXX;KlingXXXXX;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-12-24T05:56:42;9385;75289
3;CorrineXXX;WuckertXXX;Arlo58@hotmail.com;WoodenXXXXXX;2020-12-24T08:05:44;90233;71649
4;MeredithXX;O'HaraXXXX;Deonte34@yahoo.com;Berkshire reinvent;2020-12-24T00:50:09;37356;15436
5;AntoninaXX;TurnerXXXX;Reuben92@yahoo.com;AlbaniaXXXXX;2020-12-24T16:13:15;54263;80529
6;UniqueXXXX;MacGyverXX;Jensen13@gmail.com;Music pinkXX;2020-12-24T03:35:21;95916;18581
7;MyrticeXXX;O'HaraXXXX;Imogene95@yahoo.com;calculate Concrete Soap;2020-12-24T06:31:53;95498;15970
8;MontyXXXXX;JerdeXXXXX;Chandler_Wehner@gmail.com;payment Expressway;2020-12-23T20:34:32;43151;12407
9;EdwinXXXXX;AbshireXXX;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-12-23T23:24:08;69929;43322
10;CaseyXXXXX;SchinnerXX;Yasmine24@yahoo.com;e-businessXX;2020-12-24T00:06:33;601;74069
